haversine_km,euclidean_km,absolute_difference_km,percent_error
112.08673412759275,112.08528857294716,0.0014455546455849344,0.001289675051054126
112.48704386958057,112.4855827715104,0.0014610980701803555,0.0012989034291579196
112.8873536115684,112.88587685905036,0.0014767525180445773,0.0013081647064966217
113.28766335355623,113.28617083517197,0.0014925183842535716,0.0013174588830520881
113.68797309554405,113.68646469948015,0.0015083960638975213,0.00132678595881893
114.08828283753188,114.0867584515798,0.00152438595208082,0.0013361459338042904
114.48859257951973,114.48705209107585,0.0015404884438794397,0.0013455388079903865
114.88890232150756,114.88734561757319,0.0015567039343693523,0.001354964581359685
115.28921206349538,115.2876390306767,0.001573032818683373,0.0013644232539442003
115.68952180548321,115.68793232999131,0.001589475491897474,0.0013739148257263687
116.08983154747105,116.08822551512196,0.0016060323490876272,0.0013834392966888698
116.49014128945888,116.48851858567355,0.0016227037853298043,0.0013929966668146207
116.8904510314467,116.88881154125096,0.00163949019574261,0.0014025869361232448
117.29076077343454,117.28910438145914,0.0016563919754020162,0.0014122101045977496
117.69107051542238,117.689397105903,0.0016734095193839948,0.0014218661722213745
118.09138025741021,118.0896897141874,0.0016905432228071504,0.001431555139013687
118.49168999939803,118.48998220591729,0.0017077934807474549,0.0014412770049580107
118.89199974138586,118.89027458069758,0.00172516068828088,0.0014510317700378943
119.29230948337369,119.2905668381332,0.001742645240483398,0.001460819434237107
119.69261922536154,119.69085897782902,0.0017602475325162459,0.001470639997610871
120.09292896734937,120.09115099939,0.0017779679593701303,0.0014804934600716757
120.49323870933719,120.49144290242097,0.0017958069162204993,0.0014903798216864925
120.89354845132502,120.89173468652695,0.0018137647980722704,0.0015002990823803478
121.29385819331284,121.29202635131277,0.00183184200007247,0.001510251242196419
121.69416793530068,121.69231789638336,0.0018500389173254916,0.0015202363011422816
122.09447767728851,122.09260932134364,0.0018683559448646747,0.0015302542591672172
122.49478741927635,122.49290062579857,0.001886793477780202,0.0015403051162675738
122.89509716126419,122.89319180935297,0.0019053519112190997,0.0015503888724860014
123.29540690325202,123.29348287161181,0.0019240316402004964,0.0015605055277608628
123.69571664523984,123.69377381218,0.0019428330598429966,0.0015706550821117397
124.09602638722767,124.09406463066244,0.001961756565222572,0.0015808375355236047
124.49633612921549,124.49435532666405,0.0019808025514436167,0.0015910528880044548
124.89664587120335,124.89464589978977,0.0019999714135821023,0.0016013011395394272
125.29695561319117,125.29493634964446,0.0020192635467140008,0.0016115822901138503
125.697265355179,125.69522667583304,0.0020386793459579167,0.001621896339747155
